S.No,Web Item Name,Product Group,Item Group,Description,Main Image,Thumbnail
4,National Polyester Putty (Light Weight)-3.5kg,Painting,"Stucco, Putty & Filler","KEY FEATURES:
• As a repair and dent filler for automobiles, and filling of wooden surfaces.
• Since it has good rheological properties, filled surface can be leveled uniformly.
• For smoothening the surface dry and wet sanding is recommended.",,
5,National Polyester Putty (Light Weight)-1.5kg,Painting,"Stucco, Putty & Filler","KEY FEATURES:
• As a repair and dent filler for automobiles, and filling of wooden surfaces.
• Since it has good rheological properties, filled surface can be leveled uniformly.
• For smoothening the surface dry and wet sanding is recommended.",,
18,"Gi-Block Mesh 6"" X 45Mtr",Building Materials,Nets & Mesh,"KEY FEATURES:
• Adds strength to bricks and prevents cracking. 
• It can also be used to strengthen window and wall openings.. Only the brick reinforcement function.
• Consumable metal mesh is produced from a single sheet of paper, so nothing can be loose. This is why it is ideal for modeling and model making.",,
20,Asmaco Pu Foam Gold 750ml,Building Materials,PU Foam,"KEY FEATURES:
• Efficient seal against smoke and gas, Can be painted after curing.
• Quick drying, moisture curing. Closed cell structure, resistant to water absorption.
• Thermal insulation characteristics. Suitable for sealing high volume low moment gaps. CFC free.",,
41,Venner Lipping With Glue Mahogany-22mmX50Mtr,Hardware,Veneer Lipping,"KEY FEATURES:
• Highest grade veneer quality pre-glued, maple wood veneer edging for repair or enhancing cabinetry, furniture, DIY projects, shelving, crafts and more.
• Finely sanded to perfection, this plywood edge banding provides a perfect finish to your projects.
• Glue with top-quality, German hot melt adhesive, our veneer lipping is super easy to apply with a household iron.
• The extra strong hot melt glue is evenly distributed on the veneer lipping for a strong, permanent bond.",,
90,National PU Wood Thinner Normal T1 (200Ltr) A58300000200L,Painting,Solvents & Thinners,"KEY FEATURES:
• Two Packs, Colour Retentive Glossy Polyurethane Topcoat, with Excellent Water Resistance Salt & Corrosion Resistance.
• The Dry Film is Having Excellent Adhesion To Various Surfaces, Excellent Flexibility & Impact Resistance.
• U.V.
• Resistance is Superior, The Product is Recommended for Interior & Exterior Applications, Even in Marine Conditions..",,
91,National PU Wood Thinner Normal T1 (18Ltr) A5830000020L,Painting,Solvents & Thinners,"KEY FEATURES:
• Two Packs, Colour Retentive Glossy Polyurethane Topcoat, with Excellent Water Resistance Salt & Corrosion Resistance.
• The Dry Film is Having Excellent Adhesion To Various Surfaces, Excellent Flexibility & Impact Resistance.
• U.V.
• Resistance is Superior, The Product is Recommended for Interior & Exterior Applications, Even in Marine Conditions..",,
92,National Epoxy Thinner-18Ltr,Painting,Solvents & Thinners,"KEY FEATURES:
• Thinner for Epoxy based Protective coatings. 
• It gives good flow and improves brush ability. 
• Suitable for cleaning brushes, rollers, tools etc.",,
93,National Lacquer Thinner-0.9Ltr,Painting,Solvents & Thinners,"KEY FEATURES:
• A medium for dilution at the time of application is available for alkyd coatings, P.U coatings, epoxy coatings, NC Paints etc for all type of generic coatings.
• Thinners are used for the ease of application of the paint.
• Should be taken in using the right thinner for each type of paint.",,
94,National Lacquer Thinner-3.6Ltr,Painting,Solvents & Thinners,"KEY FEATURES:
• A medium for dilution at the time of application is available for alkyd coatings, P.U coatings, epoxy coatings, NC Paints etc for all type of generic coatings. 
• Thinners are used for the ease of application of the paint. 
• Should be taken in using the right thinner for each type of paint.",,
97,Jotun Paint Thinner 5Ltr No.2,Painting,Solvents & Thinners,"KEY FEATURES:
• Jotun Paint Thinner No. 2 is a solvent used to thin alkyd and oil based products.
• Also used as cleaner for pumps & tools before & after painting.
• Keep in a dry, cool, well ventilated space and away from sources of heat and ignition.",,
